L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,n,sector_r,teacher_seed,m2_noiseless_mean,m2_baseline,log_decay,lambda_w,gamma_L,D_M,lambda_coh
3,x_err,0.05,0.0166666666666666,5.258391203722374e-05,4.034135383182452e-06,0.1249334280200231,0.3212386252414827,0.3151599809190016,0.0591539533926027,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.7976027971482786,7.973049945035338,0.05,0.7976027971482786,7.973049945035338
3,x_err,0.1,0.0333333333333333,2.381953979261371e-05,1.82738770813032e-06,0.2343788842488755,0.5267863898868808,0.5100013508035268,0.1051521369423398,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,1.5895067717720055,7.973049945035338,0.1,1.5895067717720055,7.973049945035338
3,x_err,0.2,0.0666666666666666,4.999395376525855e-06,3.835404332018733e-07,0.4138526466825264,0.7486390683915891,0.7169383749237539,0.1657037848739549,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,3.150696034875899,7.973049945035338,0.2,3.150696034875899,7.973049945035338
3,x_err,0.3,0.0999999999999999,1.0913379668428995e-06,8.372110867802239e-08,0.5506807271801422,0.8485061093324315,0.8154923849835627,0.1952639812498933,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,4.672608579298719,7.973049945035338,0.3,4.672608579298719,7.973049945035338
4,amp_damp,0.01,0.0025,0.0003486470464123,2.8291329434351296e-05,0.0025,0.0099625624609376,0.0099625624609374,5.73748456934819e-17,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.0200250417449719,0.99999999999989,0.01,0.0200250417449719,0.99999999999989
4,amp_damp,0.03,0.0075,0.0003349090466794,2.717654506943916e-05,0.0075,0.0296641843359373,0.0296641843359373,9.025654603166192e-17,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.0602261313662795,0.99999999999989,0.03,0.0602261313662795,0.99999999999989
4,amp_damp,0.05,0.0125,0.0003216470628235,2.6100387511010308e-05,0.0125,0.0490702880859372,0.0490702880859372,1.0809600230852083e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.1006302576548075,0.99999999999989,0.05,0.1006302576548075,0.99999999999989
4,amp_damp,0.1,0.025,0.0002904823043573,2.357149057188346e-05,0.025,0.0963121093750003,0.0963121093750001,1.364210647772177e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.2025424638744268,0.99999999999989,0.1,0.2025424638744268,0.99999999999989
4,amp_damp,0.2,0.05,0.0002359780444669,1.914868536528969e-05,0.0500000000000001,0.1854937500000005,0.1854937500000004,1.7307285496990296e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.4103463551003739,0.99999999999989,0.2,0.4103463551003739,0.99999999999989
4,amp_damp,0.3,0.075,0.0001906411360901,1.54697744907475e-05,0.075,0.2679058593749999,0.2679058593749996,2.018966051629226e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.6236923317576156,0.99999999999989,0.3,0.6236923317576156,0.99999999999989
4,depol,0.01,0.0025,0.0003154979658613,2.560141260308765e-05,0.0165394796642953,0.064346885146609,0.05155545379683,7.981531492645883e-17,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.1199328892671344,6.647586339771916,0.01,0.1199328892671344,6.647586339771916
4,depol,0.03,0.0075,0.0002483147493161,2.014976019043044e-05,0.0488658534211349,0.1801084042384908,0.1447537389807186,1.181974292235372e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.3593880319358821,6.647586339771916,0.03,0.3593880319358821,6.647586339771916
4,depol,0.05,0.0125,0.0001955482377868,1.5867966393125607e-05,0.0802118366585569,0.2806217384164855,0.2262625547445147,1.400773959050423e-16,2,0,50,5,8,1,42,0.0003556990911606,0.0003556990911606,0.5982780342909232,6.647586339771916,0.05,0.5982780342909232,6.647586339771916
