L,ell,j,m2_mean,m2_sem,n_init,n_input
6,0,5,4.3140830754274083e-32,5.60860570747547e-33,30,5
6,0,6,4.0511294403537377e-32,4.897646364512182e-33,30,5
6,0,7,3.903218020624798e-32,4.865730401596071e-33,30,5
6,1,0,0.00043050070612432145,4.319674499519801e-05,30,5
6,1,1,0.00043050070612432026,4.319674499519798e-05,30,5
6,1,2,4.4784290973484524e-32,5.5411349704699306e-33,30,5
6,1,3,4.6016886137892356e-32,5.629071643892072e-33,30,5
6,1,4,4.1086505480261033e-32,4.7601547160287197e-33,30,5
6,1,5,4.1086505480261033e-32,4.7601547160287197e-33,30,5
6,1,6,3.788175805280067e-32,4.678672746352519e-33,30,5
6,1,7,4.116867849122155e-32,5.006764130038184e-33,30,5
6,2,0,0.000885627777260452,9.993434390646413e-05,30,5
6,2,1,0.00047725523039637065,4.8707197043247014e-05,30,5
6,2,2,3.3900765056842376e-06,3.4029432746384314e-07,30,5
6,2,3,3.4841356647261355e-32,4.6533963637712084e-33,30,5
6,2,4,3.4512664603419264e-32,4.542893749144828e-33,30,5
6,2,5,3.4841356647261355e-32,4.5380230393507564e-33,30,5
6,2,6,2.9664456956748466e-32,3.9748232497084985e-33,30,5
6,2,7,0.0007466197862250393,7.491134222144076e-05,30,5
6,3,0,0.000951649777202803,0.00010658894837866515,30,5
6,3,1,0.000691639974674685,7.033392144841503e-05,30,5
6,3,2,3.390076505684278e-06,3.402943274638553e-07,30,5
6,3,3,2.3337135112788266e-32,3.0609238382822108e-33,30,5
6,3,4,2.94179379238669e-32,3.574467340156482e-33,30,5
6,3,5,2.9171418890985333e-32,3.573763625599347e-33,30,5
6,3,6,0.00021139533735165444,2.6383401379641412e-05,30,5
6,3,7,0.0006324595676341761,6.214130122489758e-05,30,5
6,4,0,0.0012098653969495239,0.00011072839619991856,30,5
6,4,1,0.000633120620097411,6.419750743550458e-05,30,5
6,4,2,1.0518145402946825e-32,1.7032575918402232e-33,30,5
6,4,3,1.1832913578315177e-32,1.9471767648692097e-33,30,5
6,4,4,1.561287208249919e-32,2.2082193035335408e-33,30,5
6,4,5,1.561287208249919e-32,2.2082193035335408e-33,30,5
6,4,6,0.00021139533735165485,2.6383401379641432e-05,30,5
6,4,7,0.0006702768982900208,7.065109007129017e-05,30,5
6,5,0,0.0007510296216933117,7.962229266521005e-05,30,5
6,5,1,1.2572470676959876e-32,2.1132192052231558e-33,30,5
6,5,2,1.2901162720801963e-32,2.2559417315385127e-33,30,5
6,5,3,1.306550874272301e-32,2.2526045972779492e-33,30,5
6,5,4,1.0846837446788912e-32,1.943822452706084e-33,30,5
6,5,5,1.1257702501591523e-32,1.9578187079969316e-33,30,5
6,5,6,1.232595164407831e-32,2.098791027175198e-33,30,5
6,5,7,0.000751029621693314,7.96222926652104e-05,30,5
