seed,n,L,sector_r,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,gamma_L
3,8,4,1,depol,0.01,0.0025,0.0004442815619648,5.515992668319484e-05,0.0165394796642953,0.064346885146609,0.05155545379683,7.981531492645883e-17,1,0,40,4,0.01
3,8,4,1,depol,0.03,0.0075,0.0003465139800166,4.3010052947959686e-05,0.0488658534211349,0.1801084042384908,0.1447537389807186,1.181974292235372e-16,1,0,40,4,0.03
3,8,4,1,depol,0.05,0.0125,0.0002703552235574,3.354772766487276e-05,0.0802118366585569,0.2806217384164855,0.2262625547445147,1.400773959050423e-16,1,0,40,4,0.05
3,8,4,1,depol,0.1,0.025,0.0001456083096436,1.8054709644762834e-05,0.1544636469934086,0.4782316666947949,0.388885717738509,1.6525263486601687e-16,1,0,40,4,0.1
3,8,4,1,depol,0.2,0.05,4.25777769391297e-05,5.2702925585559895e-06,0.2866834516201808,0.7183354199465444,0.5951860169600887,1.836671304805951e-16,1,0,40,4,0.2
3,8,4,1,depol,0.3,0.075,1.2607611151534978e-05,1.5572838545263363e-06,0.3996137237499999,0.8424988207388627,0.7122515464576918,1.8343657627592614e-16,1,0,40,4,0.3
3,8,4,1,dephase,0.01,0.0025,0.0004769658888069,5.920243310270328e-05,0.009975,0.0393069564245633,0.0,9.514050889814285e-17,1,0,40,4,0.01
3,8,4,1,dephase,0.03,0.0075,0.0004283695702215,5.312747549089179e-05,0.0297749999999995,0.1138854984574246,0.0,1.3729361639923947e-16,1,0,40,4,0.03
3,8,4,1,dephase,0.05,0.0125,0.0003843888216801,4.763238964960792e-05,0.0493749999999995,0.1833481963377367,0.0,1.6422654164002352e-16,1,0,40,4,0.05
3,8,4,1,dephase,0.1,0.025,0.0002920469260149,3.6106249063671904e-05,0.0975000000000003,0.3365795687109388,0.0,1.830260761012727e-16,1,0,40,4,0.1
3,8,4,1,dephase,0.2,0.05,0.0001656511098655,2.0367910510667537e-05,0.1900000000000008,0.5695327900000018,2.220446049250313e-15,2.0038516605125406e-16,1,0,40,4,0.2
3,8,4,1,dephase,0.3,0.075,9.16283522770988e-05,1.119022263218891e-05,0.2774999999999996,0.727509474960937,0.0,1.7284433979273244e-16,1,0,40,4,0.3
3,8,4,1,x_err,0.01,0.0025,0.0004288110604718,5.324603709143307e-05,0.0198044029525333,0.0763741809060414,0.076048266372962,0.0098010522912051,1,0,40,4,0.01
3,8,4,1,x_err,0.03,0.0075,0.0003118010374519,3.871641537927679e-05,0.0582609066462815,0.2094140593478888,0.206889265258459,0.0283910851823229,1,0,40,4,0.03
