topology,n,L,r,channel,gamma_L,gamma,lambda_coh,gL_lam,m2_zero,m2_noise,delta_tilde,delta_tilde_low,delta_tilde_high,D_M,D_M_low,D_M_high,ell_act,j_act,n_samples,wallclock_s
open_chain,8,3,1,dephase,0.05,0.016666666666666666,3.9959999999999996,0.19979999999999998,2.7856808634248136e-05,2.1239549757390793e-05,0.2375454763587619,0.23754547635857437,0.23754547635896742,0.2712124134054182,0.27121241340517216,0.2712124134056877,2,1,160,51.01797962188721
open_chain,8,3,1,dephase,0.1,0.03333333333333333,3.9959999999999996,0.39959999999999996,2.7856808634248136e-05,1.604078337034703e-05,0.4241700985580261,0.4241700985579079,0.4241700985582959,0.5519429718954024,0.5519429718951969,0.5519429718958708,2,1,160,53.92578458786011
open_chain,8,3,1,dephase,0.25,0.08333333333333333,3.9959999999999996,0.9989999999999999,2.7856808634248136e-05,6.478603366932882e-06,0.7674319606385973,0.7674319606385557,0.7674319606386854,1.4585724543515304,1.4585724543513516,1.4585724543519085,2,1,160,50.94839382171631
open_chain,8,3,1,dephase,0.5,0.16666666666666666,3.9959999999999996,1.9979999999999998,2.7856808634248136e-05,1.086929280653848e-06,0.9609815576893637,0.9609815576893598,0.9609815576894071,3.243720864864982,3.243720864864884,3.2437208648660953,2,1,160,53.64404511451721
open_chain,8,3,1,depol,0.005,0.0016666666666666668,6.647586339772471,0.033237931698862355,2.7856808634248136e-05,2.617625667382829e-05,0.06032823007419863,0.06032823007400346,0.06032823007430366,0.06222464562594225,0.06222464562573459,0.06222464562605388,2,1,160,74.90784168243408
open_chain,8,3,1,depol,0.01,0.0033333333333333335,6.647586339772471,0.06647586339772471,2.7856808634248136e-05,2.4596974722504986e-05,0.11702108287219215,0.11702108287210802,0.11702108287228608,0.12445395507567177,0.12445395507557658,0.12445395507577806,2,1,160,74.51622939109802
open_chain,8,3,1,depol,0.03,0.01,6.647586339772471,0.19942759019317413,2.7856808634248136e-05,1.917610694176414e-05,0.31161867127204357,0.31161867127194565,0.31161867127217713,0.3734123377203714,0.3734123377202291,0.37341233772056537,2,1,160,74.17166519165039
open_chain,8,3,1,depol,0.05,0.016666666666666666,6.647586339772471,0.33237931698862355,2.7856808634248136e-05,1.4949144167669224e-05,0.463357617021132,0.4633576170210273,0.46335761702118095,0.6224233598032093,0.622423359803014,0.6224233598033004,2,1,160,73.90225315093994
open_chain,8,3,1,depol,0.1,0.03333333333333333,6.647586339772471,0.6647586339772471,2.7856808634248136e-05,8.02058618112608e-06,0.7120780672892555,0.7120780672892326,0.7120780672893054,1.2450659025680657,1.2450659025679867,1.2450659025682396,2,1,160,74.22105646133423
open_chain,8,3,1,depol,0.25,0.08333333333333333,6.647586339772471,1.6618965849431178,2.7856808634248136e-05,1.2404441819935767e-06,0.9554707002413575,0.9554707002413512,0.9554707002413692,3.1116078849317783,3.1116078849316384,3.111607884932041,2,1,160,74.89016127586365
open_chain,8,3,1,depol,0.5,0.16666666666666666,6.647586339772471,3.3237931698862355,2.7856808634248136e-05,5.6329228492911925e-08,0.9979779008703941,0.9979779008703936,0.9979779008703946,6.203619134063351,6.2036191340631,6.203619134063595,2,1,160,74.76131772994995
